Title,Link,Date
BEA Milestone: We’ve Got Your ‘Harmonized’ Number,https://www.bea.gov/news/blog/2023-09-29/bea-milestone-weve-got-your-harmonized-number,"September 29, 2023"
"Personal Income by State, 2nd Quarter 2023",https://www.bea.gov/news/blog/2023-09-29/personal-income-state-2nd-quarter-2023,"September 29, 2023"
"Personal Income and Outlays, August 2023",https://www.bea.gov/news/blog/2023-09-29/personal-income-and-outlays-august-2023,"September 29, 2023"
"Gross Domestic Product (Third Estimate) and Corporate Profits (Revised Estimate), Second Quarter 2023 ",https://www.bea.gov/news/blog/2023-09-28/gross-domestic-product-third-estimate-and-corporate-profits-revised-estimate,"September 28, 2023"
"U.S. International Investment Position, 2nd Quarter 2023",https://www.bea.gov/news/blog/2023-09-27/us-international-investment-position-2nd-quarter-2023,"September 27, 2023"
Experimental Data Map Health Care Estimates in GDP to Centers for Medicare & Medicaid Framework,https://www.bea.gov/news/blog/2023-09-25/experimental-data-map-health-care-estimates-gdp-centers-medicare-medicaid,"September 25, 2023"
U.S. Current-Account Deficit Narrows in 2nd Quarter 2023,https://www.bea.gov/news/blog/2023-09-21/us-current-account-deficit-narrows-2nd-quarter-2023,"September 21, 2023"
Health Care Statistics Updated With Improved Drug Price Data,https://www.bea.gov/news/blog/2023-09-18/health-care-statistics-updated-improved-drug-price-data,"September 18, 2023"
July 2023 Trade Gap is $65.0 Billion,https://www.bea.gov/news/blog/2023-09-06/july-2023-trade-gap-650-billion,"September 6, 2023"
Benchmark Updates of GDP and More Starting Sept. 28,https://www.bea.gov/news/blog/2023-09-05/benchmark-updates-gdp-and-more-starting-sept-28,"September 5, 2023"
"Personal Income and Outlays, July 2023",https://www.bea.gov/news/blog/2023-08-31/personal-income-and-outlays-july-2023,"August 31, 2023"
Gross Domestic Product (Second Estimate) Corporate Profits (Preliminary Estimate) Second Quarter 2023 ,https://www.bea.gov/news/blog/2023-08-30/gross-domestic-product-second-estimate-corporate-profits-preliminary-estimate,"August 30, 2023"
